chauffeur_nom,avg_retard_minutes
Luca Petit,6.1689059500959695
Riley Laurent,7.05664263645726
Morgan Faure,6.922606924643585
Alex Laurent,6.60233918128655
Casey Moreau,6.311890838206628
Ariel Mercier,6.8412852969815
Owen Perrin,6.59765625
Noa Garnier,6.562118126272912
Sky Bernard,6.7008032128514055
Casey Petit,6.311890838206628
Noa Robin,7.3037475345167655
Cameron Petit,6.816481294236603
Drew Petit,7.133333333333334
Chris Garnier,6.638255698711595
Ariel Rousseau,6.640081799591002
Owen Perrin,6.59765625
Chris Garnier,6.551519154557464
Robin Faure,6.771058315334773
Sky Fontaine,6.831325301204819
Maya Garnier,6.367469879518072
Drew Faure,6.534798534798535
Chris Giraud,7.214437367303609
Ariel Garnier,6.711538461538462
Maya Rousseau,6.60233918128655
Owen Fontaine,6.711538461538462
Maya Bernard,6.593287265547878
Cameron Giraud,6.492509363295881
Jordan Petit,6.990215264187867
Sasha Bernard,6.5745909528392685
Cameron Dupont,6.921761998685076
Ariel Fontaine,6.735632183908046
Alex Perrin,6.20985401459854
Sky Chevalier,6.20985401459854
Riley Lefevre,6.675785207700101
Riley Vincent,7.214437367303609
Robin Mercier,6.518304431599229
Riley Bourgeois,6.774193548387097
Robin Dupont,6.967010309278351
Sky Vincent,7.118681318681318
Luca Bernard,6.80811078140455
Ariel Petit,6.414529914529915
Maya Garnier,6.358224016145308
Chris Garnier,6.42409402546523
Sky Lefevre,6.838709677419355
Jamie Vincent,6.5181644359464626
Cameron Vincent,7.16247582205029
Cameron Chevalier,6.726114649681529
Ariel Fontaine,7.036734693877551
Owen Perrin,7.47119341563786
Sam Bernard,7.007905138339921
Ariel Fontaine,6.311890838206628
Riley Moreau,6.969543147208122
Drew Perrin,6.957528957528957
Jordan Petit,6.4070247933884295
Alex Moreau,6.980119284294235
Robin Laurent,6.462301587301587
Morgan Giraud,6.58502024291498
Ariel Rousseau,6.726114649681529
Sam Garnier,6.3438735177865615
Riley Chevalier,6.975806451612903
Chris Marin,6.715202052597819
Drew Rousseau,6.576470588235294
Riley Blanc,6.130612244897959
Taylor Rousseau,6.672300469483568
Noa Vincent,6.529531568228106
Jordan Fontaine,6.866935483870968
Owen Lefevre,7.004098360655738
Noa Lefevre,6.986604152712659
Taylor Lefevre,6.429435483870968
Robin Blanc,6.367469879518072
Noa Giraud,6.968410661401777
Noa Petit,7.133333333333334
Ariel Faure,6.60233918128655
Noa Marin,6.771369721936148
Jordan Petit,6.489822718319107
Owen Marin,6.311890838206628
Cameron Rousseau,6.5836109260493005
Sam Bernard,6.831325301204819
Cameron Bernard,6.311890838206628
Riley Blanc,6.4070247933884295
Ariel Laurent,6.462301587301587
Casey Blanc,6.534798534798535
Noa Marin,7.01875
Alex Rousseau,6.529531568228106
Zoe Chevalier,6.367469879518072
Chris Rousseau,7.214437367303609
Jamie Petit,6.562118126272912
Taylor Mercier,6.868534482758621
Jamie Petit,6.748414376321353
Sky Giraud,6.699502487562189
Ariel Laurent,6.314176245210728
Jordan Dupont,6.740625
Ariel Rousseau,6.411187438665358
Alex Fontaine,7.008602150537635
Casey Faure,6.443790849673203
Maya Chevalier,6.294589178356714
Owen Bourgeois,6.771058315334773
Zoe Lefevre,6.234704112337011
Jamie Lefevre,6.965587044534413
Jordan Garnier,6.736434108527132
Alex Blanc,6.448897795591182
Ariel Marin,6.257692307692308
Sam Bourgeois,6.60233918128655
Sasha Giraud,6.429435483870968
Alex Rousseau,6.294589178356714
Robin Lefevre,6.787593984962406
Robin Bernard,6.488888888888889
Chris Rousseau,6.893467336683417
Drew Marin,6.27348643006263
Maya Rousseau,6.450757575757576
Sasha Marin,6.60233918128655
Morgan Perrin,6.414529914529915
Luca Perrin,7.0772357723577235
Cameron Dupont,6.726114649681529
Jamie Fontaine,6.66147859922179
Drew Laurent,6.730006397952655
Alex Rousseau,7.0772357723577235
Morgan Giraud,6.554445554445555
Sky Bernard,6.348884381338743
Cameron Mercier,6.990215264187867
Drew Robin,5.98828125
Ariel Bernard,6.679462571976967
Ariel Perrin,6.470370370370371
Robin Vincent,6.362403100775194
Drew Faure,7.3037475345167655
Sky Bourgeois,6.5181644359464626
Sky Marin,6.455165692007797
Noa Laurent,6.753799392097265
Alex Perrin,6.59765625
Taylor Mercier,6.576470588235294
Morgan Marin,6.4070247933884295
Sky Bourgeois,6.693251533742331
Chris Perrin,6.771058315334773
Chris Mercier,6.81630648330059
Casey Fontaine,6.831325301204819
Riley Garnier,6.859213250517598
Maya Rousseau,6.462301587301587
Morgan Bourgeois,6.9958932238193015
Morgan Dupont,6.590361445783133
Maya Laurent,6.822361546499478
Alex Petit,6.450292397660819
Owen Garnier,6.748106815464328
Cameron Faure,6.7008032128514055
Zoe Fontaine,6.323558162267839
Owen Blanc,6.678172588832488
Drew Fontaine,6.82851445663011
Robin Robin,6.726114649681529
Cameron Bernard,5.98828125
Chris Petit,6.429435483870968
Sasha Marin,6.4070247933884295
Zoe Lefevre,6.631472081218274
Sasha Fontaine,6.450757575757576
Sam Robin,6.27348643006263
Noa Rousseau,6.6819126819126815
Morgan Dupont,6.594142259414226
Owen Laurent,6.6819126819126815
Taylor Blanc,6.990215264187867
Maya Moreau,7.017857142857143
Taylor Bourgeois,6.978813559322034
Morgan Rousseau,6.60233918128655
Taylor Lefevre,6.687374749498998
Noa Perrin,6.755182625863771
Sasha Dupont,6.570564516129032
Chris Garnier,6.307992202729045
Noa Lefevre,6.245579567779961
Taylor Rousseau,6.965587044534413
Luca Marin,6.519211822660099
Luca Robin,6.27348643006263
Morgan Bourgeois,6.890318212593094
Alex Garnier,6.223360655737705
Maya Vincent,6.6605691056910565
Maya Chevalier,6.698924731182796
Noa Perrin,6.444664031620554
Owen Bernard,6.450292397660819
Morgan Moreau,6.529531568228106
Jamie Laurent,6.717267552182163
Ariel Petit,7.0230460921843685
Casey Rousseau,6.687061183550652
Morgan Fontaine,7.004098360655738
Sky Bourgeois,6.408536585365853
Ariel Chevalier,6.367469879518072
Sasha Giraud,6.640748031496063
Jamie Lefevre,7.007905138339921
Owen Rousseau,6.831325301204819
Drew Rousseau,6.348884381338743
Morgan Faure,6.990215264187867
Noa Mercier,6.679462571976967
